ID,note
tora1263,"Glottolog coordinate and Asher Polygon both possible (Nimuendaju 1981). Glottolog reflects the place of the wordlist collection but not obvious whether this is the remnant location or one of the original locations."
akur1238,"From name and classification the Glottolog match seems clear. Glottolog coordinate in Suriname is correct for 1775 (Nimuendajú 1981). The basis for a later or earlier location in Guyana is unclear."
sheb1234,"Both locations are possible. Not much is known about the language."
otom1276,"Rare case of a family with a - weird - coordinate."
culi1244,Both locations are compatible with descriptions of Kulina-speaking areas in the literature.
pota1247,"Glottolog's coordinate is somewhat the midpoint between places where the language was spoken or is about to be revived. The Atlas gives the original homeland."
chey1247,Glottolog has the coordinate of the Northern Cheyenne Indian Reservation in Montana.
pawn1254,"Glottolog has the contemporary location, the Atlas the historical location in what is now Nebraska."
gbay1281,"According to Moñino 1995:22, 33 the Cameroon location is the result of the pre-1800 migration and the Atlas polygon seems to represent the original location in CAR."
budz1238,"The Atlas location is right next to Glottolog's Motembo-Kunda, to which Budza is closely related according to Maho (2009)."
mido1240,"The match to Glottolog's Midob seems clear considering name and classification. The Atlas location seems somewhat implausible, given that North Darfur is the supposed homeland of the language."
kham1281,"Both the Glottolog and the Atlas location are compatible with 'spoken by the Hamnigan people east of Lake Baikal' (Wikipedia)."
soca1235,"The basis for a location of So in the Central African Republic is unclear, but name and classification make the Glottolog match very plausible."
swam1239,"Contemporary location is far from Glottolog coordinate for traditional location"
tupi1273,"Glottolog coordinate for dialect Potiguara mostly matches the location of this dialect in the Atlas."
para1311,"A Guarani location North of Belo Horizonte is listed as contemporary location."
